ticker,period_end_date,calendar_frame,fiscal_year,fiscal_period,actual_revenue,forecast_revenue,variance,variance_pct,stock_price,best_method,forecast_type,changepoint_flag,variance_zscore,zscore_flag,anomaly_tier,pelt_penalty,z_threshold
AAPL,2019-03-30,,2019.0,Q2,58015000000.0,58015000000.0,0.0,0.0,47.48749923706055,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2019-06-29,,2019.0,Q3,53809000000.0,53809000000.0,0.0,0.0,49.47999954223633,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2019-09-28,,2019.0,FY,64040000000.0,64040000000.0,0.0,0.0,54.70500183105469,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2019-12-28,,2020.0,Q1,91819000000.0,91819000000.0,0.0,0.0,72.44999694824219,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2020-03-28,,2020.0,Q2,58313000000.0,58313000000.0,0.0,0.0,61.935001373291016,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2020-06-27,,2020.0,Q3,59685000000.0,59685000000.0,0.0,0.0,88.40750122070312,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2020-09-26,,2020.0,Q4,64698000000.0,64698000000.0,0.0,0.0,112.27999877929688,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2020-12-26,,2021.0,Q1,111439000000.0,111439000000.0,0.0,0.0,131.97000122070312,SimpleExpSmoothing,Warmup_Baseline,False,0.0,False,NORMAL,10.0,2.0
AAPL,2021-03-27,,2021.0,Q2,89584000000.0,76397462643.51767,13186537356.48233,17.260438894433896,121.20999908447266,SimpleExpSmoothing,WalkForward_OutSample,False,1.5,False,NORMAL,10.0,2.0
AAPL,2021-06-26,,2021.0,Q3,81434000000.0,84479646289.3516,-3045646289.351593,-3.605183524230129,133.11000061035156,SimpleExpSmoothing,WalkForward_OutSample,False,-0.92,False,NORMAL,10.0,2.0
AAPL,2021-09-25,,2021.0,Q4,83360000000.0,73283599568.28427,10076400431.715729,13.74987103673412,146.9199981689453,SimpleExpSmoothing,WalkForward_OutSample,False,1.1,False,NORMAL,10.0,2.0
AAPL,2021-12-25,,2022.0,Q1,123945000000.0,83386404857.448,40558595142.552,48.639337805591154,176.27999877929688,SimpleExpSmoothing,WalkForward_OutSample,False,4.1,True,WORTH_A_LOOK,10.0,2.0
AAPL,2022-03-26,,2022.0,Q2,97278000000.0,101318185742.40384,-4040185742.403839,-3.987621484533684,174.72000122070312,SimpleExpSmoothing,WalkForward_OutSample,False,-1.06,False,NORMAL,10.0,2.0
AAPL,2022-06-25,,2022.0,Q3,82959000000.0,99239141466.46951,-16280141466.469513,-16.404960004586673,141.66000366210938,SimpleExpSmoothing,WalkForward_OutSample,False,-1.22,False,NORMAL,10.0,2.0
AAPL,2022-09-24,,2022.0,Q4,90146000000.0,92461683200.87724,-2315683200.877243,-2.5044787426661,150.42999267578125,SimpleExpSmoothing,WalkForward_OutSample,False,-0.46,False,NORMAL,10.0,2.0
AAPL,2022-12-31,,2023.0,Q1,117154000000.0,91564073316.4712,25589926683.52881,27.947562571930177,129.92999267578125,SimpleExpSmoothing,WalkForward_OutSample,False,0.75,False,NORMAL,10.0,2.0
AAPL,2023-04-01,,2023.0,Q2,94836000000.0,99898789891.38371,-5062789891.383728,-5.067919137847729,164.89999389648438,SimpleExpSmoothing,WalkForward_OutSample,False,-0.34,False,NORMAL,10.0,2.0
AAPL,2023-07-01,,2023.0,Q3,81797000000.0,98794480533.0038,-16997480533.0038,-17.204888816967394,193.97000122070312,SimpleExpSmoothing,WalkForward_OutSample,False,-0.96,False,NORMAL,10.0,2.0
AAPL,2023-09-30,,2023.0,Q4,89498000000.0,92523466788.11292,-3025466788.112915,-3.269945337264012,171.2100067138672,SimpleExpSmoothing,WalkForward_OutSample,False,-0.21,False,NORMAL,10.0,2.0
AAPL,2023-12-30,,2024.0,Q1,119575000000.0,91400584218.7294,28174415781.2706,30.825203167024423,192.52999877929688,SimpleExpSmoothing,WalkForward_OutSample,False,1.57,True,WORTH_A_LOOK,10.0,2.0
AAPL,2024-03-30,,2024.0,Q2,90753000000.0,101431709729.20038,-10678709729.200378,-10.52797962068283,171.47999572753906,SimpleExpSmoothing,WalkForward_OutSample,False,-0.57,False,NORMAL,10.0,2.0
AAPL,2024-06-29,,2024.0,Q3,85777000000.0,97619470823.97816,-11842470823.97815,-12.131258983499118,210.6199951171875,SimpleExpSmoothing,WalkForward_OutSample,False,-0.57,False,NORMAL,10.0,2.0
AAPL,2024-09-28,,2024.0,Q4,94930000000.0,93587898861.97304,1342101138.026947,1.4340541398480675,227.7899932861328,SimpleExpSmoothing,WalkForward_OutSample,False,0.01,False,NORMAL,10.0,2.0
AAPL,2024-12-28,,2025.0,Q1,124300000000.0,94254196000.07796,30045803999.922028,31.877417955904235,255.58999633789065,SimpleExpSmoothing,WalkForward_OutSample,False,1.48,True,WORTH_A_LOOK,10.0,2.0
AAPL,2025-03-29,,2025.0,Q2,95359000000.0,104157347323.48984,-8798347323.489853,-8.447169162405912,217.8999938964844,SimpleExpSmoothing,WalkForward_OutSample,False,-0.54,False,NORMAL,10.0,2.0
AAPL,2025-06-28,,2025.0,Q3,94036000000.0,101135001408.096,-7099001408.095993,-7.019331892279687,201.0800018310547,SimpleExpSmoothing,WalkForward_OutSample,False,-0.51,False,NORMAL,10.0,2.0
AAPL,2025-09-27,CY2025,2025.0,Q4,102466000000.0,98831529423.19664,3634470576.80336,3.677440385689627,255.4600067138672,SimpleExpSmoothing,WalkForward_OutSample,False,-0.04,False,NORMAL,10.0,2.0
AAPL,2025-12-27,CY2025Q4,2026.0,Q1,143756000000.0,100001964782.32788,43754035217.67213,43.75317556301079,273.3999938964844,SimpleExpSmoothing,WalkForward_OutSample,False,2.07,True,WORTH_A_LOOK,10.0,2.0
AAPL,2026-03-28,CY2026Q1,2026.0,Q2,111184000000.0,114329703763.00693,-3145703763.0069275,-2.751431744743807,248.8000030517578,SimpleExpSmoothing,WalkForward_OutSample,False,-0.44,False,NORMAL,10.0,2.0
